intersectional_key,dx,age_group,sex,loc_zone,count
MiddleAged|female|Trunk,df,MiddleAged,female,Trunk,1
YoungAdult|female|UpperExtremity,vasc,YoungAdult,female,UpperExtremity,1
YoungAdult|male|UpperExtremity,df,YoungAdult,male,UpperExtremity,1
YoungAdult|female|Head,bcc,YoungAdult,female,Head,1
MiddleAged|female|LowerExtremity,akiec,MiddleAged,female,LowerExtremity,1
MiddleAged|male|Head,vasc,MiddleAged,male,Head,1
Elderly|female|Unknown,mel,Elderly,female,Unknown,1
MiddleAged|female|UpperExtremity,bcc,MiddleAged,female,UpperExtremity,1
Pediatric|male|Trunk,bkl,Pediatric,male,Trunk,1
Pediatric|male|Trunk,mel,Pediatric,male,Trunk,1
YoungAdult|male|Head,akiec,YoungAdult,male,Head,1
YoungAdult|male|LowerExtremity,mel,YoungAdult,male,LowerExtremity,1
Pediatric|male|Unknown,nv,Pediatric,male,Unknown,2
Elderly|female|Unknown,bkl,Elderly,female,Unknown,2
MiddleAged|female|LowerExtremity,vasc,MiddleAged,female,LowerExtremity,2
YoungAdult|male|Head,vasc,YoungAdult,male,Head,2
YoungAdult|male|UpperExtremity,vasc,YoungAdult,male,UpperExtremity,2
MiddleAged|female|Unknown,bcc,MiddleAged,female,Unknown,2
Pediatric|male|LowerExtremity,bkl,Pediatric,male,LowerExtremity,2
Pediatric|male|Head,vasc,Pediatric,male,Head,2
MiddleAged|male|Unknown,mel,MiddleAged,male,Unknown,2
MiddleAged|female|Trunk,akiec,MiddleAged,female,Trunk,2
YoungAdult|male|Head,bcc,YoungAdult,male,Head,2
MiddleAged|female|UpperExtremity,akiec,MiddleAged,female,UpperExtremity,3
MiddleAged|female|UpperExtremity,vasc,MiddleAged,female,UpperExtremity,3
MiddleAged|male|Trunk,df,MiddleAged,male,Trunk,3
Pediatric|female|Trunk,bkl,Pediatric,female,Trunk,3
MiddleAged|female|Head,bcc,MiddleAged,female,Head,3
Elderly|male|Unknown,bcc,Elderly,male,Unknown,3
Elderly|male|Trunk,df,Elderly,male,Trunk,3
Elderly|male|UpperExtremity,vasc,Elderly,male,UpperExtremity,3
MiddleAged|male|UpperExtremity,vasc,MiddleAged,male,UpperExtremity,3
YoungAdult|male|LowerExtremity,df,YoungAdult,male,LowerExtremity,3
YoungAdult|male|Head,bkl,YoungAdult,male,Head,3
YoungAdult|male|Trunk,vasc,YoungAdult,male,Trunk,3
MiddleAged|female|LowerExtremity,bcc,MiddleAged,female,LowerExtremity,4
Elderly|female|Unknown,nv,Elderly,female,Unknown,4
YoungAdult|male|Trunk,bcc,YoungAdult,male,Trunk,4
YoungAdult|male|Trunk,bkl,YoungAdult,male,Trunk,4
Elderly|female|Head,vasc,Elderly,female,Head,4
MiddleAged|male|LowerExtremity,akiec,MiddleAged,male,LowerExtremity,4
MiddleAged|male|LowerExtremity,bcc,MiddleAged,male,LowerExtremity,4
Pediatric|female|Trunk,vasc,Pediatric,female,Trunk,4
MiddleAged|male|Unknown,bkl,MiddleAged,male,Unknown,4
YoungAdult|male|UpperExtremity,mel,YoungAdult,male,UpperExtremity,4
MiddleAged|male|UpperExtremity,bcc,MiddleAged,male,UpperExtremity,4
MiddleAged|male|UpperExtremity,df,MiddleAged,male,UpperExtremity,4
MiddleAged|female|Head,vasc,MiddleAged,female,Head,4
YoungAdult|female|LowerExtremity,bkl,YoungAdult,female,LowerExtremity,4
Elderly|female|UpperExtremity,vasc,Elderly,female,UpperExtremity,4
YoungAdult|female|Trunk,bcc,YoungAdult,female,Trunk,4
Elderly|male|LowerExtremity,vasc,Elderly,male,LowerExtremity,4
MiddleAged|male|LowerExtremity,vasc,MiddleAged,male,LowerExtremity,5
Elderly|female|LowerExtremity,vasc,Elderly,female,LowerExtremity,5
Elderly|male|Unknown,mel,Elderly,male,Unknown,5
Elderly|male|Unknown,bkl,Elderly,male,Unknown,5
Elderly|female|Trunk,akiec,Elderly,female,Trunk,5
YoungAdult|female|Head,mel,YoungAdult,female,Head,5
YoungAdult|female|Head,bkl,YoungAdult,female,Head,5
MiddleAged|male|Head,bcc,MiddleAged,male,Head,5
YoungAdult|female|LowerExtremity,vasc,YoungAdult,female,LowerExtremity,5
Pediatric|female|Head,nv,Pediatric,female,Head,5
Pediatric|male|Trunk,vasc,Pediatric,male,Trunk,5
YoungAdult|female|Trunk,vasc,YoungAdult,female,Trunk,5
MiddleAged|female|UpperExtremity,df,MiddleAged,female,UpperExtremity,6
Elderly|female|Trunk,vasc,Elderly,female,Trunk,6
MiddleAged|female|UpperExtremity,bkl,MiddleAged,female,UpperExtremity,6
YoungAdult|female|Trunk,bkl,YoungAdult,female,Trunk,6
MiddleAged|male|Trunk,akiec,MiddleAged,male,Trunk,6
Elderly|male|UpperExtremity,df,Elderly,male,UpperExtremity,6
MiddleAged|male|UpperExtremity,akiec,MiddleAged,male,UpperExtremity,8
MiddleAged|male|LowerExtremity,bkl,MiddleAged,male,LowerExtremity,8
MiddleAged|female|Head,mel,MiddleAged,female,Head,9
MiddleAged|male|Trunk,vasc,MiddleAged,male,Trunk,9
MiddleAged|female|LowerExtremity,df,MiddleAged,female,LowerExtremity,10
MiddleAged|female|Head,akiec,MiddleAged,female,Head,10
YoungAdult|female|UpperExtremity,mel,YoungAdult,female,UpperExtremity,10
YoungAdult|female|LowerExtremity,df,YoungAdult,female,LowerExtremity,10
Elderly|male|LowerExtremity,df,Elderly,male,LowerExtremity,11
YoungAdult|female|Unknown,nv,YoungAdult,female,Unknown,11
Elderly|female|LowerExtremity,df,Elderly,female,LowerExtremity,11
Elderly|male|Unknown,nv,Elderly,male,Unknown,11
Pediatric|male|Head,nv,Pediatric,male,Head,12
Pediatric|male|UpperExtremity,nv,Pediatric,male,UpperExtremity,13
YoungAdult|female|LowerExtremity,mel,YoungAdult,female,LowerExtremity,13
Elderly|female|UpperExtremity,bcc,Elderly,female,UpperExtremity,14
Elderly|female|LowerExtremity,bcc,Elderly,female,LowerExtremity,14
Elderly|female|Head,nv,Elderly,female,Head,14
Elderly|female|UpperExtremity,akiec,Elderly,female,UpperExtremity,14
MiddleAged|female|Trunk,vasc,MiddleAged,female,Trunk,15
MiddleAged|male|Head,akiec,MiddleAged,male,Head,15
Elderly|female|LowerExtremity,akiec,Elderly,female,LowerExtremity,15
YoungAdult|female|Trunk,mel,YoungAdult,female,Trunk,15
MiddleAged|male|LowerExtremity,df,MiddleAged,male,LowerExtremity,15
Elderly|male|Trunk,vasc,Elderly,male,Trunk,15
MiddleAged|male|UpperExtremity,bkl,MiddleAged,male,UpperExtremity,17
Elderly|male|UpperExtremity,bcc,Elderly,male,UpperExtremity,17
YoungAdult|male|Unknown,nv,YoungAdult,male,Unknown,17
Pediatric|female|UpperExtremity,nv,Pediatric,female,UpperExtremity,17
